Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time
1,9.99,Clear,Medium,Morning,Scooter,14,1.6,57.6
2,23.82,Clear,Low,Evening,Bike,14,9.6,82.1
3,18.57,Clear,Medium,Afternoon,Scooter,11,2.2,97.5
4,15.37,Rainy,Medium,Morning,Bike,24,1.9,110.1
5,4.74,Clear,Medium,Afternoon,Scooter,18,3.9,34.2
6,4.74,Foggy,Medium,Morning,Bike,29,1.4,61.9
7,2.39,Clear,High,Morning,Scooter,34,2.0,53.8
8,21.79,Rainy,Low,Morning,Car,12,8.5,90.0
9,15.43,Rainy,Medium,Night,Bike,30,2.1,108.6
10,17.99,Rainy,Low,Night,Bike,13,1.6,85.5
11,1.49,Foggy,Medium,Morning,Bike,28,8.9,45.7
12,24.28,Rainy,Low,Morning,Bike,9,4.7,109.4
13,20.98,Foggy,Low,Morning,Car,29,2.0,114.0
14,6.1,Clear,Medium,Morning,Bike,25,6.0,38.4
15,5.36,Clear,Medium,Evening,Bike,12,0.9,32.0
16,5.4,Clear,High,Evening,Scooter,24,4.6,47.9
17,8.3,Clear,Medium,Evening,Bike,33,6.1,56.7
18,13.59,Clear,High,Night,Bike,9,9.6,76.8
19,11.37,Clear,Medium,Afternoon,Bike,31,3.6,76.2
20,7.99,Clear,Low,Morning,Scooter,24,7.8,33.0
21,15.68,Clear,Medium,Evening,Bike,22,1.8,94.0
22,4.35,Clear,Medium,Evening,Scooter,8,4.6,23.1
23,8.01,Foggy,Medium,Evening,Bike,15,2.6,59.9
24,9.79,Clear,Medium,Morning,Bike,25,5.2,67.6
25,11.95,Rainy,Medium,Morning,Bike,26,4.5,89.7
26,19.84,Clear,Medium,Afternoon,Car,24,9.8,94.3
27,5.79,Foggy,Low,Night,Bike,15,9.2,33.7
28,13.34,Foggy,Low,Afternoon,Bike,18,6.0,75.1
29,15.22,Rainy,Low,Morning,Car,30,2.2,87.5
30,2.11,Rainy,Low,Afternoon,Car,17,5.8,21.8
31,15.58,Clear,High,Evening,Scooter,32,8.0,106.9
32,5.09,Stormy,Low,Afternoon,Bike,8,0.9,43.9
33,2.56,Foggy,Medium,Evening,Bike,20,4.6,45.5
34,23.77,Foggy,Medium,Afternoon,Bike,10,0.9,147.3
35,24.18,Rainy,Low,Evening,Scooter,27,2.8,119.7
36,20.4,Clear,High,Afternoon,Bike,17,1.4,137.8
37,8.31,Foggy,Medium,Night,Bike,27,9.6,73.4
38,3.34,Clear,Low,Afternoon,Bike,24,2.1,27.7
39,17.42,Rainy,High,Morning,Bike,9,1.9,132.9
40,11.56,Clear,Low,Morning,Scooter,23,9.7,48.2
41,3.93,Foggy,Low,Evening,Scooter,25,5.4,33.9
42,12.88,Clear,High,Morning,Scooter,14,7.7,79.3
